SKU,ID_Producto,Nombre_Producto,Categoria,Familia,Etapa_Ciclo_Vida,Fecha_Lanzamiento,Fecha_Fin_Proyectada,Ventas_Ultimos_12M_USD,Ventas_Pronosticadas_12M_USD,Variacion_YoY_Pct,Margen_Bruto_Pct,Inventario_Actual_Unid,Rotacion_Inventario,Volumen_Clientes_Unicos,Cuota_Mercado_Pct,Proyectos_NPI,Riesgos_Alertas,Estrategia_Recomendada
SKU001,PRD001,SmartHub Pro,Electrónicos,Hubs,Madurez,15/03/2022,31/12/2026,285000,270000,-5.3,42,8500,3.8,4200,18.5,Lanzado Q1,Declive leve (-5%),Mantener
SKU002,PRD002,UltraCharge 65W,Electrónicos,Cargadores,Crecimiento,20/06/2023,30/06/2028,420000,580000,38.1,38,12000,4.5,5800,22,En Desarrollo,Crecimiento fuerte,Acelerar marketing
SKU003,PRD003,Basic Mouse Óptico,Periféricos,Ratones,Madurez,10/01/2020,30/09/2025,95000,72000,-24.2,28,4500,2.1,2800,9.2,Ninguno,"Declive >20%, bajo margen",Candidato a eliminar
SKU004,PRD004,ErgoKeyboard Pro,Periféricos,Teclados,Crecimiento,01/02/2023,31/12/2027,310000,420000,35.5,45,6800,5.1,5100,16.8,Lanzado Q2,Alta rotación,Expandir canales
SKU005,PRD005,Webcam HD 1080p,Electrónicos,Cámaras,Madurez,11/11/2021,31/03/2026,180000,155000,-13.9,33,7200,2.8,3900,12.4,Ninguno,Obsolescencia tecnológica,Phase-out 2026
SKU006,PRD006,PowerBank 20000mAh,Electrónicos,Baterías,Declive,05/08/2019,31/12/2024,65000,30000,-53.8,22,11000,1.4,2100,6.1,Ninguno,Ventas cayendo >50%,Eliminar Q4 2025
SKU007,PRD007,"Monitor 27"" 4K",Periféricos,Monitores,Crecimiento,10/09/2023,30/09/2028,580000,720000,24.1,48,4200,6.2,6800,21.3,Lanzado Q3,Alta demanda B2B,Inversión en stock
SKU008,PRD008,USB-C Hub 7en1,Electrónicos,Hubs,Madurez,18/05/2022,31/05/2027,195000,180000,-7.7,36,5800,3.9,4600,14.2,Ninguno,"Estable, bajo riesgo",Mantener
SKU009,PRD009,Cable HDMI 2.1,Accesorios,Cables,Declive,22/04/2018,30/06/2024,42000,18000,-57.1,18,15000,0.9,1800,4.8,Ninguno,Comoditizado,Eliminar 2025
SKU010,PRD010,Wireless Earbuds X1,Electrónicos,Auriculares,Introducción,15/01/2024,31/01/2029,85000,320000,276.5,52,3000,8.1,4200,19.7,Lanzado Q1,NPI estrella,Prioridad máxima
SKU011,PRD011,Stand Laptop Ajustable,Accesorios,Soportes,Madurez,30/07/2021,31/07/2026,135000,128000,-5.2,40,6200,3.5,3800,11.5,Ninguno,Estable,Mantener
SKU012,PRD012,Teclado Gaming RGB,Periféricos,Teclados,Crecimiento,01/11/2023,30/11/2028,280000,380000,35.7,44,5100,5.8,5900,17.9,Lanzado Q4,Gaming en auge,Expandir e-commerce
SKU013,PRD013,Mouse Inalámbrico Ergo,Periféricos,Ratones,Madurez,15/09/2020,31/12/2025,110000,95000,-13.6,31,4900,2.6,3200,10.1,Ninguno,Declive moderado,Phase-out 2026
SKU014,PRD014,Adaptador USB-C a HDMI,Electrónicos,Adaptadores,Crecimiento,05/04/2023,30/04/2027,165000,210000,27.3,37,7100,4.2,4400,13.8,En Desarrollo,Alta compatibilidad,Lanzar Q2
SKU015,PRD015,Soporte Monitor Dual,Accesorios,Soportes,Madurez,20/02/2022,28/02/2026,98000,92000,-6.1,39,3800,3.2,2900,9.8,Ninguno,Estable,Mantener
SKU016,PRD016,DockStation Thunderbolt,Electrónicos,Hubs,Crecimiento,12/08/2023,31/08/2028,420000,580000,38.1,50,2800,7.1,5100,23.5,Lanzado Q3,Premium B2B,Inversión fuerte
SKU017,PRD017,Cable USB-C 100W,Accesorios,Cables,Madurez,01/10/2021,31/10/2026,75000,68000,-9.3,25,9200,2.1,3500,8.4,Ninguno,Bajo margen,Candidato a racionalizar
SKU018,PRD018,Webcam 4K Pro,Electrónicos,Cámaras,Introducción,01/03/2024,31/03/2029,62000,280000,351.6,55,1800,9.2,3800,20.1,Lanzado Q1,NPI premium,Prioridad alta
SKU019,PRD019,Ratón Vertical Ergo,Periféricos,Ratones,Crecimiento,15/05/2023,31/05/2027,185000,240000,29.7,41,5400,4.8,4200,15.6,Lanzado Q2,Salud laboral,Expandir B2B
SKU020,PRD020,Hub USB 4 puertos,Electrónicos,Hubs,Declive,10/12/2019,30/09/2024,38000,15000,-60.5,19,8800,1.1,1600,5.2,Ninguno,Obsolescencia,Eliminar Q3 2025
SKU021,PRD021,Teclado Compacto 60%,Periféricos,Teclados,Crecimiento,20/07/2023,31/07/2028,220000,310000,40.9,43,4600,5.5,5200,18.2,Lanzado Q3,Tendencia minimalista,Acelerar
SKU022,PRD022,"Monitor Curvo 34""",Periféricos,Monitores,Madurez,25/01/2022,31/01/2027,380000,360000,-5.3,46,3100,4.9,6100,19.8,Ninguno,Cash cow,Mantener
SKU023,PRD023,Auriculares Noise-Cancelling,Electrónicos,Auriculares,Madurez,18/04/2021,30/04/2026,260000,240000,-7.7,47,4200,3.8,5800,17.5,Ninguno,Estable,Mantener
SKU024,PRD024,PowerStrip USB,Electrónicos,Accesorios,Declive,05/06/2020,30/06/2025,52000,22000,-57.7,20,7200,1.5,1900,6.3,Ninguno,Bajo valor,Eliminar 2025
SKU025,PRD025,SSD Externo 1TB,Electrónicos,Almacenamiento,Crecimiento,01/09/2023,30/09/2028,310000,420000,35.5,44,5800,5.3,6700,21,Lanzado Q3,Alta demanda,Inversión
SKU026,PRD026,Adaptador Ethernet USB,Electrónicos,Adaptadores,Madurez,11/11/2022,30/11/2026,89000,82000,-7.9,32,6100,2.9,3300,10.5,Ninguno,Estable,Mantener
